Data_dt,Data,Product,Sku,Sensation_Posizione,Sensation_Prezzo,Comp_rank_1,Comp_1_Prezzo,Comp_rank_2,Comp_3_prezzo,Comp_rank_4,Comp_4_prezzo,Comp_rank_5,Comp_5_prezzo
14/01/2026,14/01/2025,Aquolina Pink Sugar Eau de Toilette 100ml,148633,17,"€ 22,90",Farmasave,"€ 14,95",Ditano,"15,9",Profumo Mania,"16,9",Jasmine Parfums,"16,99"
14/01/2026,14/01/2026,Biopoint Body Care Crema Corpo Idratazione Sublime 500ml,104297,3,"€ 10,90",Farmacia Igea,"€ 10,31",Profumerie Cirrottola,"10,32",Sensation Profumerie,"10,9",Pharmasi,"12,32"
14/01/2026,14/01/2026,Bulgari Splendida Patchouli Tentation Eau de Parfum 50ml,131702,5,"€ 94,25",Brasty,"€ 61,82",Amazon,"69,49",Redcare,"71,23",Profumo Mania,84
14/01/2026,14/01/2026,Burberry Goddess Parfum For Her Ricarica 150ml,164175,5,"€ 117,00",Profumerie Cirrottola,"€ 103,26",Ideabellezza,106,PepinoShop,108,Flaconi,"113,14"
14/01/2026,14/01/2026,Chanel Coco Mademoiselle Hair Mist 35ml,145088,2,"€ 59,50",Profumerie Mallardo,"€ 54,00",Sensation Profumerie,"59,5",Sabbioni,"59,51",-,-
14/01/2026,14/01/2026,Chanel Coco Mademoiselle L'Eau Privée 50ml,130580,2,"€ 82,95",Profumerie Mallardo,"€ 81,50",Sensation Profumerie,"82,95",Sabbioni,"89,27",Profumo Mania,96
14/01/2026,14/01/2026,Chanel N°5 l'Eau - Eau de Toilette 50ml,110387,3,"€ 96,38",Profumo Mania,"€ 87,30",Profumerie Mallardo,"94,5",Sensation Profumerie,"96,38",Sabbioni,"103,74"
14/01/2026,14/01/2026,Chanel Ultra Le Teint Fluide Fondotinta Fluido B20,134645,2,"€ 49,80",Profumerie Mallardo,"€ 46,50",Sensation Profumerie,"49,8",Sabbioni,"51,01",Marionnaud,"68,9"
14/01/2026,14/01/2026,Chloé Nomade Eau de Parfum 75ml,159039,16,"€ 90,72",Casa del Profumo,"€ 63,95",Flaconi,"66,2",Notino,"66,2",Jasmine Parfums,"68,9"
14/01/2026,14/01/2026,Clarins Body Fit Active Crema 200ml,154240,1,"€ 40,87",Rizzi Profumerie,"€ 40,87",Sensation Profumerie,"40,87",Profumerie Mallardo,"41,5",Bontempo Profumi,"42,35"
